sector_id,delta_industry_output
1,0.026583480095723644
2,0.030066355917369947
3,0.0009199111518682912
4,0.00444525156126474
5,0.001823579847041401
6,0.012632327379833441
7,0.15765320853097364
8,0.02066065531107597
9,0.0039026800186547916
10,0.007574514485895634
11,0.00039174766425276175
12,0.09665946994209662
13,0.029370496311457828
14,0.7947854218909924
15,0.033471860690042377
16,0.007823141131666489
17,0.007307368709007278
18,0.005371837236452848
19,0.01067589462036267
20,0.014437283432926051
21,0.02660559435025789
22,0.0027107566311315168
23,0.006491940614068881
24,0.007366495119640604
25,0.0016407021175837144
26,0.0011456895881565288
27,0.013445367614622228
28,0.007574224662675988
29,0.024623229532153346
30,0.013688324059330625
31,0.0035342248920642305
32,0.002356543936912203
33,0.007005926112469751
34,0.025457754396484233
35,0.027952330667176284
36,0.026589913017232902
37,0.18890054698567837
38,0.09497411013580859
39,0.004673739371355623
40,0.01650188025087118
41,0.02806875150417909
42,0.010827671554579865
43,0.020911867526592687
44,0.01910786342341453
45,0.00898975966629223
46,0.007505260829930194
47,0.01226250493346015
48,0.006411707727238536
49,0.03249382571084425
50,0.02268510320573114
51,0.007176291604992002
52,0.0038449030835181475
53,0.004009005038824398
54,0.01905646876548417
55,0.0022952772815187927
56,0.003273218186222948
57,0.008844129588396754
58,0.0026438495915499516
59,0.002808416844345629
60,0.0012117975793444202
61,0.01039451255928725
62,0.00840617083304096
63,0.0012954161684319843
64,0.006070463325158926
65,0.0022738643165212125
66,0.007073641951137688
67,0.007534926167863887
68,0.0036071212962269783
69,0.0006054071927792393
70,0.03947692483779974
71,0.002974680479383096
72,0.0005581417954090284
73,0.00047413479478564113
74,0.0003032570057257544
75,0.0026459862710908055
76,0.00019721425087482203
77,0.0019045106309931725
78,0.00035197113538742997
79,0.01611087868514005
80,0.16465625097043812
81,0.004700916761066765
82,0.0024222609063144773
83,0.0009497888386249542
84,0.013200969551689923
85,0.012024711380945519
86,0.016885874327272177
87,0.0017887984540720936
88,0.03128011350054294
89,0.002169784733268898
90,0.027496487098687794
91,0.015751319719129242
92,0.01725545452791266
93,0.008228710226831026
94,0.007420429872581735
95,0.0062620342505397275
96,0.0011452519065642264
97,0.06498239649226889
98,0.013208126969402656
99,0.02886095707071945
100,0.060165614006109536
101,0.10185272595845163
102,0.0007385068311123177
103,0.013716419518459588
104,0.01450893358560279
105,0.10446902015246451
106,0.005710563083994202
107,0.009154731233138591
108,0.01599470729706809
109,0.057222618896048516
110,0.04174047909327783
111,0.10369642998557538
112,0.009868277644272894
113,0.028563957079313695
114,0.04317841574084014
115,0.006061306688934565
116,0.012585851945914328
117,0.0007761094093439169
118,0.005865277234988753
119,0.016145969071658328
120,0.04313132166862488
121,0.008753466347116046
122,0.00567211801171652
123,0.024685529409907758
124,0.012404708351823501
125,0.004542148995824391
126,0.012382378379697911
127,0.0493797495146282
128,0.01253025142068509
129,0.0583112045424059
130,3.473263495834544e-05
131,0.0022718651744071394
132,0.0005492005075211637
133,0.00033008959144353867
134,6.393296644091606e-06
135,2.1518178982660174e-05
136,5.3118361392989755e-05
137,6.133521674200892e-05
138,4.219604306854308e-06
139,1.0370622476330027e-05
140,4.3181004002690315e-05
141,2.751790452748537e-05
142,1.0190124157816172e-05
143,0.00024451333592878655
144,4.247658944223076e-05
145,0.010969359253067523
146,0.000982635625405237
147,0.002496037835953757
148,0.0017958328426175285
149,0.005424499919172376
150,6.027611198078375e-05
151,0.0003006837287102826
152,0.0014127940885373391
153,0.004916966034215875
154,0.020212009141687304
155,0.013532531447708607
156,0.01130340585950762
157,0.004844007838983089
158,0.039142079338489566
159,0.019041501538595185
160,0.009845598004176281
161,6.251493323361501e-05
162,1.0073563316836953e-08
163,0.004757517213874962
164,0.008827786950860173
165,2.1648374968208373e-05
166,0.000295734207611531
167,0.005745502116042189
168,3.601599019020796e-10
169,0.020808770321309566
170,0.017895883225719444
171,0.005637518363073468
172,2.260706969536841e-05
173,2.9027442415244877
174,3.748573362827301e-08
