sector_id,delta_commodity_output
1,0.1850640974007547
2,0.20762558229034767
3,0.006462699460826116
4,0.031285776112781605
5,0.013875735445253667
6,0.11662075482672662
7,1.2413871475146152
8,0.14236238928424427
9,0.026658883314667037
10,0.06464769812737359
11,0.007436683095875196
12,0.2034251561271958
13,0.22000994882546365
14,26.14421834701352
15,0.26515676523558795
16,0.07300335321633611
17,0.04591972472553607
18,0.0365386516059516
19,0.06297877279575914
20,0.09726048655284103
21,0.1961510494002141
22,0.017369551866067923
23,0.043451023258967325
24,0.05681932278093882
25,0.011336321826092899
26,0.010213907837169245
27,0.06821151796611957
28,0.052030163125891704
29,0.16219341686519329
30,0.0914356611428957
31,0.0263963968900498
32,0.013853855441993801
33,0.04452382746239891
34,0.15871755668194965
35,0.18675647459167521
36,0.1479987214843277
37,1.281623607792426
38,0.6913581104599871
39,0.014336345804622397
40,0.100771268029348
41,0.17426068132044747
42,0.07484968191420194
43,0.12975945678772405
44,0.14105324032425415
45,0.025628796482124017
46,0.03784535958402557
47,0.08158870290935738
48,0.03858415958529804
49,0.1983105283579789
50,0.13302519205899443
51,0.045783851826854516
52,0.02210755305713974
53,0.023157011211878853
54,0.11887282194220461
55,0.012491832923842594
56,0.01868116870537051
57,0.06800798741460312
58,0.016080905195849482
59,0.02242570436646929
60,0.009848971691098996
61,0.07060595374787226
62,0.04832179844379425
63,0.010213479615231336
64,0.04227023599742097
65,0.01442107476759702
66,0.045276374446984846
67,0.04395469633163884
68,0.01917494024382904
69,0.0029531381078413688
70,0.25667869846802205
71,0.010614334605634212
72,0.0031301698109018616
73,0.0015853345357754733
74,0.002807404987834161
75,0.014129126735497266
76,0.0007123941086319974
77,0.010514500900171697
78,0.0014110499105299823
79,0.10443162980664056
80,0.9529241481795907
81,0.003946968296077102
82,0.004606737405993044
83,0.002511330501874909
84,0.03239637881051749
85,0.08694907356402837
86,0.11526618537027389
87,0.012303027931920951
88,0.2015593468095176
89,0.018761266008368693
90,0.20201287276722724
91,0.12281171916401945
92,0.11806761444313452
93,0.07072325418994296
94,0.03921681275824085
95,0.044066989939892665
96,0.007063918674248271
97,0.3995395969832316
98,0.09025351659511216
99,0.06796089553972706
100,0.23959359957370907
101,0.864729055785574
102,0.0062879633624106646
103,0.10545692651066929
104,0.11039476172300056
105,0.798802840989083
106,0.09319577715359628
107,0.08178030824637972
108,0.1252179630100727
109,0.4024324840866029
110,0.2695600916049443
111,0.7131308222888038
112,0.07305123170590377
113,0.23357999260770157
114,0.2947167976235505
115,0.08696295192930847
116,0.24769409047439694
117,0.005406583135481924
118,0.038603499884629855
119,0.11215745718800463
120,0.2924386362428777
121,0.05488281397265382
122,0.041247444172768155
123,0.17235401927609928
124,0.09040196939895395
125,0.03242884641804267
126,0.09027086989954114
127,0.3537587350583635
128,0.07930157652299386
129,0.4494075204420369
130,0.0
131,0.006132694106781855
132,0.009814350574743003
133,0.0006954361451789737
134,0.0
135,2.0928855519741774e-06
136,0.0003392757644178346
137,0.0001410169425071217
138,0.0
139,0.00010202567864325829
140,1.3153650797903538e-05
141,0.00034107378451153636
142,4.453984729479998e-06
143,0.0
144,0.0
145,0.07731692071683938
146,0.0077994947278057225
147,0.011524691930389963
148,0.010845292366866488
149,0.03528295766591327
150,0.0
151,0.0008981932314782171
152,0.03459719955571927
153,0.03316336614807369
154,0.1179492577794008
155,0.08850136981345713
156,0.10111790837254375
157,0.050241656485013664
158,0.45081354054127587
159,0.22820343165949453
160,0.08656310127844336
161,0.0002170730585930869
162,0.0
163,0.02841019429251901
164,0.06958356163522694
165,0.0
166,0.0019566002665669657
167,0.03000218706438318
168,0.0
169,0.005147011601366103
170,0.11741397480363958
171,0.0
172,0.0
173,0.1495204393286258
174,0.0
175,0.24535799027580651
176,0.09933269712200854
