sector_id,delta_commodity_output
1,0.026618934236466885
2,0.028917419083882123
3,0.0008362629860130255
4,0.0031220894015859812
5,0.0016236516185017535
6,0.0268284259691427
7,0.29827077756635845
8,0.0158488120578113
9,0.0031063562746567186
10,0.016545782120374497
11,0.015580094914184883
12,0.04325220093596727
13,0.01335537749400828
14,4.505074031971162
15,0.07004624954424798
16,0.005676044631400146
17,0.0048922757123364136
18,0.0019441282202024013
19,0.00645775931479875
20,0.014828247178229503
21,0.02525510804844089
22,0.0024929832525231177
23,0.003253945367760025
24,0.009208256786223501
25,0.0012998797465115786
26,0.006983541446970776
27,0.00306916976114735
28,0.002535488089051796
29,0.0037852424138691276
30,0.0005599824798991904
31,0.004501002884353511
32,0.0018445710957166739
33,0.004786849698575679
34,0.012092948672943749
35,0.01550207800755743
36,0.009750900993822142
37,0.2092172234551981
38,0.12210130161838606
39,0.0016794951225165278
40,0.01084235894086305
41,0.023850415542256087
42,0.011668611303321086
43,0.019670073263114318
44,0.024303386759129353
45,0.003625487250246806
46,0.008237429967266507
47,0.011194169630471151
48,0.00495360971763148
49,0.029104180503054522
50,0.025446030136663467
51,0.00990919290779857
52,0.004307341790990904
53,0.003505828954075696
54,0.02438533224631101
55,0.0011594262905418873
56,0.003863129146338906
57,0.009248042508261278
58,0.0030878555444360245
59,0.004225230746669695
60,0.00014467776964011136
61,0.012479249882744625
62,0.006627013091929257
63,0.0002683569539385644
64,0.006532577684993157
65,0.0013279541744850576
66,0.007015397037321236
67,0.0061126598448026925
68,2.8355978429317474e-05
69,0.0006046055859769695
70,0.05373614942072891
71,0.002029633295023814
72,0.0008038368960114894
73,0.0002049933282251004
74,0.00028967730395379476
75,0.001475551733165048
76,4.9021073209587485e-06
77,0.00030369551677722484
78,0.00013228803254605737
79,0.003197292040567845
80,0.18786522489972413
81,0.0018838805262930691
82,0.0001279444550164044
83,0.00036897623795084655
84,0.006664115469902754
85,0.017482934257714078
86,0.02180126673192717
87,0.002648448324180208
88,0.04099015472456813
89,0.008662994048791006
90,0.050990465919312555
91,0.025158558739349246
92,0.010072443372337148
93,0.020697629064670764
94,0.00908702373271808
95,0.007101088645868003
96,0.000852127526741242
97,0.10414429800584912
98,0.06115680068614893
99,0.026479578926227987
100,0.059878285275772214
101,0.09681073692627251
102,0.005205737077631056
103,0.030347016640007496
104,0.05695218621985987
105,0.1073321527801454
106,0.006149735563667491
107,0.017017153790220618
108,0.009983728465158492
109,0.04673391138203442
110,0.04107028178987093
111,0.13129685923922807
112,0.013064444225165062
113,0.07791130780242383
114,0.05212042460334487
115,0.00321789039298892
116,0.041258604323957115
117,0.0007194772515504155
118,0.005483424334670417
119,0.015824378860997967
120,0.054375149426050484
121,0.007408808043692261
122,0.008815240398689639
123,0.06800505769206211
124,0.01424956890696194
125,0.0063753707145224325
126,0.019484452917822637
127,0.05270835637929849
128,0.010143132203666028
129,0.08435625646961853
130,0.0
131,0.002053565753158182
132,0.005308769454131834
133,4.354165866971016e-06
134,0.0
135,4.54614928457886e-06
136,3.9702135836705565e-05
137,1.4489851309917867e-05
138,0.0
139,5.469586903927848e-05
140,1.0243384167551994e-05
141,4.400132456794381e-05
142,1.624721335247159e-08
143,0.0
144,0.0
145,0.004196527064777911
146,0.0009122813571593724
147,0.0022344297394738533
148,0.0017036876670317724
149,0.00608091289177537
150,0.0
151,4.4625008740695193e-05
152,0.00015818516840226948
153,0.0018102679023286328
154,0.013966568309115246
155,0.011332602938637137
156,0.01524762308690697
157,0.004684979736339301
158,0.01568490144563839
159,0.011182933034433518
160,0.017112150613684207
161,9.742904512677342e-05
162,0.0
163,0.004413463153468911
164,0.008575349696911871
165,0.0
166,4.908462869934738e-06
167,0.00220850262849126
168,0.0
169,0.00015883601736277342
170,0.01039018105075229
171,0.0
172,0.0
173,0.02052362635731697
174,0.0
175,0.05598122103037895
176,0.016218281336477958
