sector_id,delta_industry_output
1,0.005644243297865614
2,0.006383732776157558
3,0.00019531688121787738
4,0.0009438223023607861
5,0.000387185144063551
6,0.0026821142091648653
7,0.033473159332061186
8,0.0043867005297215655
9,0.0008286227202916052
10,0.0016082319925772026
11,8.317639003507793e-05
12,0.02052288013510406
13,0.006235986656975001
14,0.16875000198160706
15,0.007106794277206063
16,0.0016610207603662275
17,0.0015515112463617697
18,0.001140556349128019
19,0.0022667215671390295
20,0.00306534516857937
21,0.005648938997182995
22,0.0005755518122896319
23,0.001378378292429261
24,0.0015640650381101295
25,0.00034835618862416595
26,0.00024325451522599906
27,0.002854740116163157
28,0.001608170467079617
29,0.005228040143265389
30,0.0029063249603495933
31,0.0007503917768190149
32,0.0005003448641218711
33,0.0014875084671075456
34,0.005405227610026486
35,0.005934879678534344
36,0.00564560919883661
37,0.04010764020495117
38,0.020165041787549853
39,0.000992335262708366
40,0.003503703308524564
41,0.00595959834754467
42,0.0022989470380707644
43,0.004440038377651945
44,0.004057009500684217
45,0.0019087189102720004
46,0.0015935279370751232
47,0.002603592998639215
48,0.0013613431510748342
49,0.006899136555148289
50,0.004816534201381728
51,0.0015236807157634757
52,0.0008163554448401555
53,0.0008511978048773017
54,0.004046097426908091
55,0.00048733664516475983
56,0.0006949744492885657
57,0.0018777985460474156
58,0.0005613460052700248
59,0.0005962871655356139
60,0.00025729062963364413
61,0.0022069780970923603
62,0.0017848105053417385
63,0.00027504465288075153
64,0.0012888896435470087
65,0.0004827901902899612
66,0.0015018859994597733
67,0.0015998265662346967
68,0.0007658697431907058
69,0.00012854095257353038
70,0.00838179828133434
71,0.0006315885693766177
72,0.00011850547707581427
73,0.0001006689817586448
74,6.438797208829783e-05
75,0.0005617996794171631
76,4.187281047052238e-05
77,0.0004043685330543667
78,7.473102778021712e-05
79,0.003420685330638662
80,0.034960055723786354
81,0.0009981053008232266
82,0.0005142978043295443
83,0.00020166076137684286
84,0.002802850096486509
85,0.0025531042483635247
86,0.0035852334985975176
87,0.0003798003126576077
88,0.0066414393950253725
89,0.00046069183736108243
90,0.005838094315549824
91,0.0033443431893829256
92,0.003663703304482624
93,0.001747131762385834
94,0.0015755165077280253
95,0.001329564314801246
96,0.00024316156486747786
97,0.013797157269436866
98,0.002804368836223148
99,0.0061278005596250296
100,0.012774450820870697
101,0.021625519439112395
102,0.00015680084470659494
103,0.002912290336098522
104,0.0030805579153820872
105,0.022181014996021986
106,0.0012124750865041278
107,0.0019437458395259455
108,0.0033960195432882756
109,0.012149589660111815
110,0.008862399525241926
111,0.022016977425664663
112,0.002095247124088928
113,0.00606474099913612
114,0.00916770420735702
115,0.0012869455094914883
116,0.0026722464681370184
117,0.00016478468023706228
118,0.001245324241608614
119,0.0034281357075087726
120,0.009157705353572965
121,0.0018585487559903413
122,0.0012043123788316734
123,0.005241267790552229
124,0.0026337858143961057
125,0.0009643957200751174
126,0.002629044698551297
127,0.010484380589332432
128,0.0026604412851156667
129,0.012380720159853809
130,7.374517736025155e-06
131,0.0004823655472137034
132,0.000116607072413899
133,7.008516695350409e-05
134,1.3575190678238869e-06
135,4.568770236801356e-06
136,1.1278170859441161e-05
137,1.3022814528085291e-05
138,8.959032129496336e-07
139,2.2019048628862947e-06
140,9.168754331767559e-06
141,5.842681275680661e-06
142,2.1636151359416544e-06
143,5.1915420044679195e-05
144,9.01869498193264e-06
145,0.0023290303797693923
146,0.00020863463942077942
147,0.0005299623881001025
148,0.00038129385211504996
149,0.0011517377497511916
150,1.2797916497220285e-05
151,6.384160951711237e-05
152,0.0002999665084644221
153,0.0010439774487167597
154,0.004291443503461778
155,0.0028732469654642045
156,0.002399955876171589
157,0.00102848673122935
158,0.008310703455208568
159,0.0040429194195894524
160,0.002090431735268794
161,1.327324571320787e-05
162,2.1318555809557438e-09
163,0.0010101230145664886
164,0.0018743286200333387
165,4.596411599777639e-06
166,6.279072840698063e-05
167,0.001219893412780948
168,8.003553375601768e-11
169,0.004418148542754352
170,0.003799680038355291
171,0.0011969662737101316
172,4.799949238076806e-06
173,0.6163148987106979
174,8.381903171539307e-09
